job_title,salary_min,salary_max,company_id,job_description,position,yof,date_posted,skills
Senior Frontend Developer,2500,4000,VNG Corporation,We are looking for a Senior Frontend Developer with expertise in React and TypeScript to join our growing team. You will be responsible for building and maintaining user interfaces for our web applications.,Software Engineer,Senior,2025-09-15,JavaScript;TypeScript;ReactJS
Full Stack Developer,2000,3500,Google,"Join our dynamic team as a Full Stack Developer. You'll work on both frontend and backend development, helping us build scalable and responsive web applications.",Full Stack Developer,Mid-level,2025-10-05,TypeScript;ReactJS;NodeJS;MongoDB
DevOps Engineer,3000,4500,Shopee,"We're seeking an experienced DevOps Engineer to help us improve our CI/CD pipeline and infrastructure. You'll work with Docker, Kubernetes, and cloud platforms to ensure smooth deployments and system reliability.",DevOps Engineer,Senior,2025-11-20,Docker;Kubernetes;AWS;CI/CD
Junior Backend Developer,1500,2200,W3Schools.com,Great opportunity for a Junior Backend Developer to join our team. You'll be working with Node.js and Express to build RESTful APIs and microservices.,Software Engineer,Junior,2025-12-01,JavaScript;NodeJS;ExpressJS
Machine Learning Engineer,3500,5000,KMS Technology - Mexico,Join our AI team as a Machine Learning Engineer. You'll be working on cutting-edge ML models to solve real-world problems in our products.,AI Engineer,Senior,2025-10-25,Python;Pandas;NumPy;Scikit-learn
React Native Developer,2200,3800,VNG Corporation,We are looking for a React Native Developer to build and maintain cross-platform mobile applications. You should have experience with React Native and mobile app development.,Mobile App Developer,Mid-level,2025-11-05,JavaScript;ReactJS;React Native
QA Engineer,1800,2800,Google,"Join our QA team to ensure the quality of our software products. You'll be responsible for designing and implementing test cases, automated testing, and identifying bugs.",QA Engineer,Mid-level,2025-09-28,Jest;Cypress;Testing Library
Data Engineer,2600,4200,VNG Corporation,We're seeking a Data Engineer to help us build and maintain our data pipelines and infrastructure. You'll work with big data technologies and ensure data quality and availability.,Data Scientist,Senior,2025-10-15,Python;MongoDB;PostgreSQL;Redis
Intern Frontend Developer,800,1200,W3Schools.com,Great opportunity for students or recent graduates to gain real-world experience in frontend development. You'll be mentored by senior developers while working on real projects.,Software Engineer,Intern,2025-12-10,JavaScript;HTML;CSS
Technical Lead,4000,6000,KMS Technology - Mexico,"We're looking for a Technical Lead to oversee our development team and projects. You'll be responsible for technical decision-making, mentoring team members, and ensuring project success.",Software Engineer,Lead,2025-09-20,TypeScript;ReactJS;ExpressJS;Git
Fresher Android Developer,1000,1500,VNG Corporation,Looking for a fresher Android developer to join our mobile app team. You'll be working on our Android applications and learning from experienced developers.,Mobile App Developer,Fresher,2025-11-15,Java;Android;Kotlin
Principal Software Architect,6000,8000,Google,Join our team as a Principal Software Architect to design and implement large-scale systems. You'll be responsible for making critical architectural decisions and guiding development teams.,Software Engineer,Principal/Expert,2025-10-10,System Design;Microservices;Cloud Architecture;AWS
